date, pm25, pm10, o3, no2, so2, co
2024/11/13, 59, 27, 34, 3, 1, 1
2024/11/14, 49, 19, 30, 3, 1, 2
2024/11/15, 43, 25, 30, 3, 1, 2
2024/11/16, 58, 23, 33, 2, 1, 2
2024/11/17, 50, 21, 32, 3, 1, 1
2024/11/18, 41, 20, 30, 4, 1, 1
2024/11/19, 42, 17, 33, 5, 1, 2
2024/11/20, 43, 31, 42, 4, 1, 2
2024/11/21, 68, 31, 40, 4, 1, 2
2024/11/22, 61, 21, 30, 3, 1, 2
2024/11/23, 44, 18, 29, 4, 1, 2
2024/11/24, 46, 19, 36, 3, 1, 2
2024/11/25, 31, 26, 32, 3, 1, 3
2024/11/26, 45, 27, 30, 3, 1, 2
2024/11/27, 48, 27, 33, 4, 1, 2
2024/11/28, 50, 24, 33, 3, 1, 3
2024/11/29, 48, 25, 33, 3, 1, 2
2024/11/30, 47, 23, 38, 4, 1, 2
2024/12/1, 48, 41, 57, 7, 1, 3
2024/12/2, 77, 34, 34, 4, 1, 3
2024/12/3, 58, 19, 36, 3, 1, 2
2024/12/4, 39, 34, 36, 4, 1, 3
2024/12/5, 65, 38, 34, 5, 1, 2
2024/12/6, 75, 25, 33, 4, 1, 2
2024/12/7, 49, 23, 30, 3, 1, 2
2024/12/8, 46, 23, 33, 4, 1, 2
2024/12/9, 49, 23, 32, 4, 1, 2
2024/12/10, 49, 25, 35, 4, 1, 2
2024/12/11, 61, 21, 32, 4, 1, 1
2024/12/12, 42, 17, 31, 4, 1, 2
2024/12/13, 43, 21, 32, 3, 1, 2
2024/12/14, 46, 29, 31, 3, 1, 2
2024/12/15, 57, 30, 32, 4, 1, 2
2024/12/16, 58, 30, 34, 5, 1, 2
2024/12/17, 63, 21, 31, 3, 1, 2
2024/12/18, 53, 22, 30, 5, 1, 2
2024/12/19, 48, 20, 26, 6, 1, 2
2024/12/20, 49, 30, 32, 4, 1, 2
2024/12/21, 63, 23, 31, 2, 1, 2
2024/12/22, 46, 20, 33, 3, 1, 2
2024/12/23, 43, 24, 33, 4, 1, 2
2024/12/24, 52, 22, 35, 4, 1, 2
2024/12/25, 48, 41, 34, 4, 1, 2
2024/12/26, 73, 22, 34, 3, 1, 2
2024/12/27, 45, 23, 31, 3, 1, 2
2024/12/28, 49, 26, 32, 4, 1, 2
2024/12/29, 55, , , , , 
2024/7/1, 26, 24, 15, 3, 1, 2
2024/7/2, 32, 20, 19, 4, 1, 2
2024/7/3, 30, 15, 25, 3, 1, 1
2024/7/4, 27, 14, 21, 3, 1, 1
2024/7/5, 18, 19, 18, 3, 2, 1
2024/7/6, 34, 24, 19, 3, 2, 1
2024/7/7, 36, 24, 23, 3, 2, 1
2024/7/8, 35, 26, 22, 3, 2, 1
2024/7/9, 36, 26, 29, 3, 2, 1
2024/7/10, 47, 23, 39, 4, 2, 2
2024/7/11, 43, 23, 41, 4, 2, 3
2024/7/12, 57, 19, 37, 4, 2, 2
2024/7/13, 37, 17, 30, 3, 1, 2
2024/7/14, 25, 21, 33, 5, 1, 2
2024/7/15, 36, 18, 18, 2, 1, 2
2024/7/16, 19, 15, 15, 3, 1, 2
2024/7/17, 22, 25, 33, 3, 2, 1
2024/7/18, 35, 28, 35, 3, 2, 1
2024/7/19, 46, 22, 18, 2, 2, 1
2024/7/20, 32, 18, 16, 2, 2, 1
2024/7/21, 28, 16, 15, 2, 1, 1
2024/7/22, 21, 16, 14, 3, 2, 2
2024/7/23, 20, 25, 14, 3, 2, 2
2024/7/24, 23, 44, 12, 3, 1, 2
2024/7/25, 33, 41, 18, 3, 1, 2
2024/7/26, 45, 48, 16, 2, 1, 2
2024/7/27, 51, 25, 15, 2, 1, 2
2024/7/28, 26, 18, 17, 3, 1, 2
2024/7/29, 24, 17, 18, 4, 1, 2
2024/7/30, 22, 15, 16, 4, 1, 2
2024/7/31, 20, 20, 26, 3, 1, 2
2024/8/1, 33, 24, 35, 3, 1, 2
2024/8/2, 48, 24, 30, 4, 1, 2
